Sample.Name,Pop,Pop_Type,Variety
ZFCC21,Cayo Costa,Wild,integrifolia
ZFCC22,Cayo Costa,Wild,integrifolia
ZFCC26,Cayo Costa,Wild,integrifolia
ZFCC27,Cayo Costa,Wild,integrifolia
ZFCC29,Cayo Costa,Wild,integrifolia
ZFCC30,Cayo Costa,Wild,integrifolia
ZFCC32,Cayo Costa,Wild,integrifolia
ZFCC33,Cayo Costa,Wild,integrifolia
ZFCC34,Cayo Costa,Wild,integrifolia
ZFCC35,Cayo Costa,Wild,integrifolia
ZFCC36,Cayo Costa,Wild,integrifolia
ZFCC37,Cayo Costa,Wild,integrifolia
ZFCC40,Cayo Costa,Wild,integrifolia
ZFCC42,Cayo Costa,Wild,integrifolia
ZFCC44,Cayo Costa,Wild,integrifolia
ZFCC45,Cayo Costa,Wild,integrifolia
ZFCC46,Cayo Costa,Wild,integrifolia
ZFCC47,Cayo Costa,Wild,integrifolia
ZFCC48,Cayo Costa,Wild,integrifolia
ZFCC50,Cayo Costa,Wild,integrifolia
ZFCC51,Cayo Costa,Wild,integrifolia
ZFCC52,Cayo Costa,Wild,integrifolia
ZFCC53,Cayo Costa,Wild,integrifolia
ZFCNS01,Canaveral,Wild,umbrosa
ZFCNS02,Canaveral,Wild,umbrosa
ZFCNS05,Canaveral,Wild,umbrosa
ZFCNS06,Canaveral,Wild,umbrosa
ZFCNS07,Canaveral,Wild,umbrosa
ZFCNS10,Canaveral,Wild,umbrosa
ZFCNS11,Canaveral,Wild,umbrosa
ZFCNS15,Canaveral,Wild,umbrosa
ZFCNS17,Canaveral,Wild,umbrosa
ZFCNS18,Canaveral,Wild,umbrosa
ZFCNS19,Canaveral,Wild,umbrosa
ZFCNS20,Canaveral,Wild,umbrosa
ZFCNS21,Canaveral,Wild,umbrosa
ZFCNS22,Canaveral,Wild,umbrosa
ZFCNS23,Canaveral,Wild,umbrosa
ZFCNS24,Canaveral,Wild,umbrosa
ZFCNS25,Canaveral,Wild,umbrosa
