,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFTS40,ZFTS,,0.005,0.007,0.007,0.017,0.691,0.052,0.02,0.031,0.011,0.006,0.016,0.007,0.007,0.013,0.019,0.005,0.006,0.005,0.008,0.019,0.011,0.014,0.011,0.004,0.006
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFTSP101,ZFTSP1,C13,0.004,0.004,0.008,0.009,0.002,0.007,0.23,0.108,0.072,0.005,0.017,0.008,0.18,0.018,0.019,0.016,0.059,0.139,0.004,0.068,0.005,0.005,0.004,0.007,0.003
ZFTSP102,ZFTSP1,C13,0.008,0.004,0.006,0.018,0.004,0.016,0.021,0.01,0.014,0.004,0.026,0.014,0.051,0.015,0.005,0.075,0.03,0.62,0.018,0.019,0.005,0.007,0.004,0.006,0.002
ZFTSP103,ZFTSP1,C13,0.005,0.004,0.008,0.013,0.002,0.005,0.027,0.014,0.024,0.007,0.012,0.007,0.241,0.01,0.004,0.051,0.043,0.465,0.01,0.005,0.004,0.005,0.004,0.026,0.002
ZFTSP104,ZFTSP1,C13,0.003,0.002,0.007,0.051,0.002,0.004,0.017,0.011,0.01,0.003,0.007,0.008,0.034,0.018,0.008,0.022,0.754,0.005,0.006,0.013,0.003,0.003,0.004,0.003,0.002
ZFTSP105,ZFTSP1,C13,0.004,0.003,0.004,0.011,0.002,0.004,0.007,0.004,0.006,0.003,0.006,0.012,0.824,0.007,0.003,0.025,0.008,0.036,0.007,0.005,0.003,0.005,0.003,0.006,0.002
ZFTSP106,ZFTSP1,C13,0.004,0.004,0.129,0.062,0.004,0.005,0.051,0.051,0.016,0.009,0.013,0.033,0.11,0.309,0.022,0.011,0.048,0.015,0.014,0.056,0.011,0.006,0.006,0.007,0.005
ZFTSP107,ZFTSP1,C13,0.005,0.003,0.014,0.007,0.003,0.004,0.019,0.01,0.006,0.005,0.019,0.006,0.107,0.008,0.015,0.032,0.645,0.03,0.024,0.004,0.005,0.005,0.005,0.016,0.002
ZFTSP108,ZFTSP1,C13,0.003,0.003,0.388,0.068,0.004,0.007,0.017,0.01,0.007,0.006,0.008,0.007,0.039,0.026,0.015,0.013,0.275,0.042,0.018,0.005,0.01,0.004,0.006,0.012,0.006
ZFTSP109,ZFTSP1,C13,0.004,0.003,0.029,0.055,0.004,0.005,0.063,0.028,0.008,0.005,0.039,0.008,0.014,0.04,0.012,0.223,0.354,0.006,0.061,0.011,0.006,0.003,0.006,0.008,0.003
ZFTSP110,ZFTSP1,C13,0.004,0.004,0.009,0.09,0.003,0.004,0.083,0.077,0.045,0.005,0.012,0.012,0.136,0.068,0.022,0.046,0.302,0.019,0.009,0.024,0.005,0.004,0.008,0.007,0.003
ZFTSP111,ZFTSP1,C13,0.004,0.003,0.006,0.024,0.003,0.008,0.081,0.023,0.019,0.003,0.008,0.009,0.421,0.009,0.033,0.035,0.238,0.027,0.005,0.025,0.004,0.004,0.004,0.005,0.003
ZFTSP112,ZFTSP1,C13,0.004,0.004,0.006,0.101,0.003,0.018,0.024,0.007,0.009,0.004,0.006,0.044,0.334,0.01,0.008,0.091,0.238,0.045,0.007,0.004,0.005,0.007,0.004,0.012,0.005
ZFTSP113,ZFTSP1,C13,0.006,0.004,0.013,0.031,0.004,0.006,0.022,0.03,0.009,0.005,0.028,0.007,0.012,0.029,0.026,0.026,0.676,0.009,0.018,0.013,0.006,0.004,0.005,0.01,0.003
ZFTSP114,ZFTSP1,C13,0.003,0.002,0.012,0.046,0.003,0.006,0.018,0.008,0.006,0.003,0.004,0.006,0.19,0.007,0.008,0.026,0.518,0.1,0.006,0.005,0.004,0.003,0.003,0.01,0.003
ZFTSP115,ZFTSP1,C13,0.004,0.005,0.024,0.028,0.004,0.008,0.025,0.011,0.021,0.006,0.037,0.069,0.314,0.044,0.007,0.031,0.28,0.024,0.019,0.008,0.004,0.004,0.004,0.014,0.006
ZFTSP116,ZFTSP1,C13,0.005,0.003,0.008,0.02,0.003,0.015,0.168,0.054,0.01,0.004,0.022,0.009,0.147,0.01,0.04,0.032,0.285,0.099,0.012,0.028,0.006,0.004,0.007,0.007,0.003
ZFTSP117,ZFTSP1,C13,0.003,0.003,0.004,0.013,0.003,0.004,0.008,0.005,0.01,0.003,0.004,0.006,0.013,0.005,0.005,0.018,0.859,0.01,0.003,0.007,0.003,0.004,0.003,0.003,0.003
ZFTSP118,ZFTSP1,C13,0.005,0.004,0.006,0.016,0.003,0.005,0.02,0.008,0.006,0.004,0.009,0.027,0.263,0.008,0.008,0.021,0.398,0.145,0.006,0.011,0.003,0.011,0.004,0.007,0.003
ZFTSP119,ZFTSP1,C13,0.016,0.008,0.344,0.007,0.007,0.005,0.02,0.015,0.009,0.012,0.011,0.025,0.082,0.017,0.007,0.021,0.184,0.032,0.035,0.082,0.015,0.029,0.009,0.005,0.004
ZFTSP120,ZFTSP1,C13,0.004,0.005,0.006,0.062,0.002,0.005,0.084,0.018,0.02,0.003,0.016,0.048,0.267,0.011,0.036,0.025,0.151,0.18,0.003,0.021,0.003,0.016,0.003,0.008,0.003
ZFTSP121,ZFTSP1,C13,0.008,0.007,0.013,0.009,0.015,0.006,0.007,0.011,0.005,0.008,0.007,0.005,0.027,0.005,0.009,0.051,0.132,0.591,0.009,0.006,0.024,0.009,0.021,0.004,0.011
ZFTSP122,ZFTSP1,C13,0.003,0.002,0.013,0.007,0.002,0.005,0.061,0.021,0.007,0.003,0.007,0.027,0.701,0.008,0.013,0.011,0.019,0.046,0.006,0.017,0.003,0.003,0.003,0.008,0.003
ZFTSP123,ZFTSP1,C13,0.002,0.002,0.01,0.013,0.002,0.003,0.026,0.008,0.011,0.003,0.007,0.009,0.02,0.008,0.007,0.006,0.835,0.004,0.004,0.007,0.003,0.002,0.003,0.003,0.003
ZFTSP124,ZFTSP1,C13,0.002,0.002,0.013,0.019,0.003,0.003,0.296,0.074,0.029,0.004,0.009,0.013,0.2,0.022,0.008,0.021,0.233,0.009,0.007,0.015,0.004,0.002,0.004,0.007,0.003
ZFTSP125,ZFTSP1,C13,0.003,0.003,0.044,0.009,0.002,0.003,0.019,0.015,0.017,0.004,0.019,0.01,0.088,0.018,0.008,0.01,0.689,0.01,0.007,0.007,0.003,0.003,0.003,0.006,0.003
ZFTSP126,ZFTSP1,C13,0.004,0.003,0.022,0.133,0.004,0.006,0.074,0.042,0.011,0.004,0.022,0.01,0.053,0.06,0.023,0.013,0.403,0.042,0.015,0.033,0.005,0.004,0.005,0.007,0.004
ZFTSP127,ZFTSP1,C13,0.003,0.002,0.024,0.013,0.003,0.005,0.073,0.03,0.008,0.004,0.007,0.038,0.211,0.017,0.011,0.061,0.431,0.01,0.01,0.019,0.004,0.003,0.003,0.008,0.004
ZFTSP128,ZFTSP1,C13,0.003,0.002,0.004,0.01,0.003,0.003,0.013,0.008,0.011,0.003,0.005,0.004,0.011,0.006,0.004,0.01,0.856,0.014,0.004,0.006,0.004,0.003,0.003,0.006,0.003
ZFTSP129,ZFTSP1,C13,0.003,0.002,0.013,0.027,0.002,0.004,0.445,0.095,0.023,0.004,0.012,0.025,0.111,0.008,0.018,0.048,0.106,0.014,0.005,0.011,0.003,0.003,0.003,0.01,0.002
ZFTSP130,ZFTSP1,C13,0.003,0.002,0.011,0.011,0.003,0.003,0.009,0.006,0.006,0.003,0.005,0.011,0.359,0.007,0.005,0.021,0.49,0.014,0.009,0.005,0.003,0.003,0.003,0.004,0.003
ZFTSP131,ZFTSP1,C13,0.003,0.003,0.007,0.021,0.002,0.003,0.021,0.012,0.063,0.004,0.01,0.008,0.679,0.014,0.004,0.028,0.085,0.007,0.005,0.005,0.003,0.003,0.002,0.006,0.002
ZFTSP132,ZFTSP1,C13,0.005,0.003,0.008,0.11,0.003,0.013,0.055,0.039,0.011,0.004,0.007,0.006,0.025,0.019,0.025,0.399,0.04,0.063,0.005,0.136,0.006,0.004,0.005,0.007,0.003
ZFTSP133,ZFTSP1,C13,0.003,0.003,0.28,0.012,0.002,0.004,0.109,0.04,0.014,0.004,0.02,0.053,0.127,0.029,0.007,0.136,0.038,0.043,0.005,0.036,0.003,0.005,0.003,0.02,0.003
ZFTSP134,ZFTSP1,C13,0.003,0.002,0.062,0.024,0.003,0.007,0.055,0.035,0.005,0.003,0.006,0.015,0.221,0.009,0.135,0.103,0.211,0.047,0.007,0.022,0.004,0.002,0.004,0.012,0.002
ZFTSP135,ZFTSP1,C13,0.003,0.003,0.005,0.011,0.002,0.003,0.012,0.005,0.009,0.003,0.006,0.014,0.849,0.012,0.003,0.012,0.008,0.014,0.005,0.007,0.003,0.004,0.002,0.004,0.002
ZFTSP136,ZFTSP1,C13,0.004,0.003,0.008,0.053,0.003,0.003,0.024,0.016,0.017,0.003,0.008,0.015,0.614,0.045,0.014,0.008,0.017,0.08,0.005,0.04,0.003,0.006,0.003,0.005,0.003
ZFTSP137,ZFTSP1,C13,0.005,0.006,0.02,0.202,0.012,0.005,0.036,0.086,0.007,0.007,0.011,0.012,0.089,0.061,0.023,0.024,0.027,0.252,0.016,0.019,0.015,0.01,0.017,0.013,0.026
ZFTSP138,ZFTSP1,C13,0.003,0.003,0.01,0.038,0.004,0.006,0.17,0.064,0.019,0.004,0.01,0.019,0.152,0.033,0.022,0.021,0.208,0.05,0.009,0.13,0.005,0.003,0.005,0.008,0.004
ZFTSP139,ZFTSP1,C13,0.002,0.002,0.02,0.008,0.002,0.003,0.019,0.01,0.013,0.003,0.006,0.02,0.806,0.009,0.011,0.006,0.021,0.009,0.004,0.014,0.002,0.003,0.002,0.003,0.003
ZFTSP140,ZFTSP1,C13,0.004,0.004,0.006,0.053,0.006,0.011,0.047,0.014,0.013,0.006,0.008,0.065,0.401,0.109,0.004,0.035,0.094,0.036,0.031,0.016,0.008,0.005,0.006,0.008,0.011
ZFTSP141,ZFTSP1,C13,0.007,0.005,0.039,0.022,0.006,0.019,0.01,0.008,0.008,0.004,0.012,0.056,0.478,0.013,0.022,0.014,0.014,0.209,0.016,0.006,0.006,0.007,0.005,0.009,0.006
ZFTSP142,ZFTSP1,C13,0.005,0.003,0.006,0.071,0.002,0.006,0.04,0.014,0.011,0.004,0.012,0.007,0.161,0.04,0.006,0.023,0.085,0.446,0.012,0.022,0.005,0.005,0.005,0.005,0.003
ZFTSP143,ZFTSP1,C13,0.005,0.004,0.015,0.092,0.003,0.005,0.044,0.019,0.124,0.004,0.028,0.015,0.306,0.015,0.014,0.165,0.059,0.038,0.008,0.01,0.004,0.005,0.004,0.012,0.002
ZFTSP144,ZFTSP1,C13,0.006,0.004,0.008,0.164,0.003,0.007,0.032,0.011,0.021,0.004,0.055,0.026,0.053,0.014,0.005,0.24,0.175,0.117,0.011,0.016,0.004,0.009,0.006,0.007,0.003
ZFTSP145,ZFTSP1,C13,0.003,0.002,0.008,0.012,0.003,0.004,0.013,0.008,0.008,0.003,0.006,0.016,0.558,0.008,0.009,0.022,0.059,0.223,0.005,0.01,0.003,0.003,0.003,0.007,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFTSP201,ZFTSP2,C13,0.004,0.003,0.047,0.252,0.004,0.024,0.034,0.025,0.007,0.004,0.012,0.073,0.013,0.334,0.016,0.026,0.012,0.016,0.01,0.048,0.005,0.003,0.005,0.019,0.004
ZFTSP202,ZFTSP2,C13,0.003,0.003,0.033,0.55,0.003,0.038,0.021,0.013,0.021,0.003,0.005,0.006,0.061,0.005,0.047,0.04,0.022,0.078,0.005,0.004,0.003,0.003,0.008,0.014,0.012
ZFTSP203,ZFTSP2,C13,0.005,0.004,0.007,0.172,0.003,0.011,0.058,0.041,0.014,0.003,0.006,0.007,0.016,0.037,0.016,0.058,0.011,0.051,0.004,0.45,0.005,0.005,0.005,0.009,0.003
ZFTSP204,ZFTSP2,C13,0.007,0.004,0.008,0.115,0.003,0.005,0.027,0.025,0.014,0.003,0.008,0.024,0.023,0.014,0.332,0.18,0.028,0.11,0.003,0.04,0.003,0.005,0.004,0.012,0.003
ZFTSP205,ZFTSP2,C13,0.011,0.004,0.009,0.304,0.003,0.032,0.028,0.067,0.048,0.004,0.03,0.009,0.027,0.132,0.016,0.059,0.022,0.083,0.004,0.047,0.006,0.004,0.013,0.029,0.008
ZFTSP206,ZFTSP2,C13,0.009,0.004,0.016,0.424,0.003,0.013,0.031,0.011,0.07,0.006,0.097,0.024,0.008,0.164,0.007,0.04,0.008,0.011,0.005,0.013,0.005,0.007,0.003,0.018,0.003
ZFTSP207,ZFTSP2,C13,0.007,0.004,0.006,0.072,0.003,0.005,0.078,0.035,0.243,0.005,0.105,0.028,0.019,0.26,0.013,0.031,0.015,0.006,0.006,0.034,0.005,0.007,0.007,0.004,0.003
ZFTSP208,ZFTSP2,C13,0.008,0.004,0.005,0.015,0.003,0.008,0.15,0.028,0.185,0.005,0.205,0.017,0.036,0.081,0.015,0.011,0.013,0.063,0.005,0.103,0.006,0.018,0.006,0.005,0.004
ZFTSP209,ZFTSP2,C13,0.004,0.004,0.013,0.058,0.003,0.006,0.093,0.034,0.027,0.003,0.024,0.142,0.256,0.03,0.01,0.122,0.017,0.026,0.008,0.096,0.003,0.005,0.003,0.011,0.003
ZFTSP210,ZFTSP2,C13,0.004,0.004,0.008,0.017,0.003,0.005,0.04,0.03,0.015,0.003,0.007,0.024,0.022,0.028,0.008,0.146,0.035,0.008,0.005,0.57,0.004,0.005,0.004,0.003,0.003
ZFTSP211,ZFTSP2,C13,0.004,0.003,0.005,0.651,0.003,0.008,0.034,0.014,0.011,0.003,0.005,0.009,0.064,0.008,0.017,0.035,0.068,0.021,0.004,0.006,0.003,0.005,0.006,0.006,0.005
ZFTSP212,ZFTSP2,C13,0.006,0.002,0.027,0.011,0.002,0.004,0.056,0.021,0.067,0.003,0.024,0.01,0.39,0.043,0.025,0.008,0.259,0.01,0.003,0.013,0.003,0.002,0.003,0.006,0.002
ZFTSP213,ZFTSP2,C13,0.002,0.002,0.007,0.01,0.003,0.003,0.02,0.036,0.007,0.003,0.004,0.008,0.136,0.037,0.016,0.004,0.633,0.012,0.005,0.031,0.004,0.002,0.005,0.003,0.004
ZFTSP214,ZFTSP2,C13,0.004,0.003,0.017,0.012,0.002,0.005,0.059,0.021,0.027,0.008,0.028,0.006,0.104,0.014,0.008,0.02,0.106,0.504,0.011,0.007,0.005,0.004,0.004,0.018,0.003
ZFTSP215,ZFTSP2,C13,0.004,0.003,0.004,0.023,0.003,0.008,0.034,0.136,0.027,0.003,0.008,0.063,0.044,0.011,0.025,0.028,0.016,0.505,0.004,0.033,0.004,0.004,0.004,0.005,0.003
ZFTSP216,ZFTSP2,C13,0.005,0.007,0.006,0.351,0.007,0.014,0.056,0.049,0.007,0.007,0.008,0.01,0.044,0.009,0.041,0.023,0.027,0.202,0.006,0.014,0.014,0.015,0.028,0.012,0.036
ZFTSP217,ZFTSP2,C13,0.003,0.003,0.008,0.013,0.003,0.004,0.048,0.039,0.011,0.003,0.01,0.015,0.03,0.103,0.007,0.011,0.568,0.011,0.008,0.082,0.005,0.004,0.005,0.003,0.004
ZFTSP218,ZFTSP2,C13,0.005,0.004,0.011,0.083,0.004,0.004,0.118,0.087,0.057,0.005,0.023,0.008,0.234,0.153,0.025,0.013,0.075,0.037,0.011,0.018,0.006,0.007,0.004,0.006,0.004
ZFTSP219,ZFTSP2,C13,0.007,0.008,0.01,0.06,0.004,0.017,0.045,0.02,0.086,0.009,0.042,0.067,0.332,0.081,0.005,0.079,0.019,0.035,0.021,0.013,0.006,0.012,0.004,0.013,0.005
ZFTSP220,ZFTSP2,C13,0.005,0.006,0.012,0.016,0.011,0.006,0.027,0.064,0.004,0.008,0.005,0.086,0.144,0.133,0.023,0.006,0.013,0.11,0.008,0.223,0.01,0.009,0.015,0.015,0.041
ZFTSP221,ZFTSP2,C13,0.005,0.004,0.041,0.248,0.004,0.023,0.018,0.13,0.008,0.004,0.011,0.06,0.019,0.029,0.154,0.018,0.068,0.094,0.012,0.015,0.007,0.004,0.011,0.008,0.006
ZFTSP222,ZFTSP2,C13,0.004,0.004,0.011,0.021,0.007,0.013,0.098,0.363,0.009,0.006,0.006,0.014,0.03,0.029,0.032,0.069,0.088,0.007,0.011,0.066,0.02,0.003,0.049,0.005,0.035
ZFTSP223,ZFTSP2,C13,0.002,0.002,0.004,0.006,0.003,0.003,0.008,0.005,0.006,0.002,0.003,0.004,0.539,0.006,0.006,0.004,0.359,0.012,0.004,0.004,0.003,0.003,0.003,0.003,0.004
ZFTSP224,ZFTSP2,C13,0.002,0.002,0.013,0.01,0.002,0.007,0.015,0.007,0.005,0.003,0.004,0.008,0.05,0.007,0.005,0.052,0.463,0.309,0.004,0.009,0.003,0.002,0.004,0.009,0.003
ZFTSP225,ZFTSP2,C13,0.004,0.003,0.023,0.026,0.003,0.004,0.018,0.021,0.008,0.003,0.009,0.023,0.646,0.025,0.057,0.011,0.029,0.049,0.006,0.014,0.004,0.004,0.005,0.004,0.002
ZFTSP226,ZFTSP2,C13,0.003,0.002,0.008,0.007,0.002,0.005,0.023,0.008,0.005,0.003,0.005,0.006,0.65,0.005,0.006,0.047,0.102,0.079,0.007,0.006,0.005,0.004,0.004,0.005,0.002
ZFTSP227,ZFTSP2,C13,0.003,0.003,0.011,0.015,0.004,0.01,0.062,0.551,0.014,0.004,0.014,0.011,0.008,0.039,0.02,0.055,0.034,0.005,0.006,0.098,0.006,0.004,0.007,0.008,0.009
ZFTSP228,ZFTSP2,C13,0.005,0.004,0.005,0.179,0.003,0.042,0.104,0.063,0.009,0.004,0.009,0.009,0.246,0.021,0.026,0.032,0.019,0.127,0.008,0.039,0.007,0.007,0.01,0.014,0.009
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFW01,ZFW,C2,0.481,0.261,0.003,0.009,0.005,0.003,0.009,0.005,0.016,0.042,0.013,0.005,0.005,0.005,0.006,0.01,0.004,0.004,0.005,0.005,0.005,0.086,0.004,0.005,0.004
ZFW02,ZFW,C2,0.537,0.21,0.003,0.034,0.006,0.004,0.004,0.003,0.004,0.061,0.006,0.008,0.003,0.004,0.004,0.005,0.003,0.003,0.007,0.01,0.008,0.058,0.004,0.006,0.006
ZFW03,ZFW,C2,0.468,0.094,0.002,0.023,0.003,0.003,0.003,0.003,0.003,0.02,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.006,0.005,0.015,0.008,0.31,0.004,0.003,0.002
ZFW04,ZFW,C2,0.257,0.604,0.003,0.004,0.009,0.004,0.003,0.003,0.003,0.015,0.006,0.005,0.003,0.003,0.009,0.008,0.003,0.003,0.005,0.003,0.005,0.024,0.004,0.009,0.007
ZFW05,ZFW,C2,0.025,0.367,0.009,0.004,0.007,0.006,0.004,0.003,0.005,0.226,0.006,0.004,0.01,0.004,0.003,0.009,0.005,0.022,0.012,0.003,0.021,0.17,0.062,0.009,0.003
ZFW06,ZFW,C2,0.179,0.677,0.002,0.006,0.005,0.006,0.004,0.003,0.005,0.014,0.003,0.003,0.003,0.003,0.006,0.009,0.004,0.004,0.004,0.003,0.019,0.004,0.011,0.006,0.016
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFWB01,ZFWB,C19,0.008,0.004,0.009,0.006,0.009,0.018,0.006,0.005,0.004,0.006,0.01,0.008,0.005,0.007,0.005,0.006,0.007,0.005,0.843,0.006,0.004,0.006,0.005,0.005,0.004
ZFWB02,ZFWB,C19,0.015,0.018,0.005,0.006,0.004,0.005,0.007,0.006,0.006,0.017,0.039,0.005,0.006,0.006,0.004,0.006,0.015,0.014,0.356,0.004,0.149,0.244,0.054,0.005,0.003
ZFWB03,ZFWB,C19,0.005,0.006,0.004,0.004,0.003,0.003,0.004,0.003,0.005,0.004,0.006,0.004,0.006,0.004,0.003,0.008,0.004,0.004,0.901,0.003,0.003,0.005,0.003,0.005,0.002
ZFWB05,ZFWB,C19,0.011,0.04,0.029,0.008,0.076,0.007,0.013,0.014,0.009,0.105,0.008,0.009,0.019,0.008,0.026,0.003,0.011,0.005,0.541,0.006,0.006,0.028,0.007,0.004,0.007
ZFWB06,ZFWB,C19,0.017,0.006,0.006,0.007,0.011,0.014,0.006,0.008,0.006,0.008,0.016,0.006,0.005,0.007,0.006,0.008,0.009,0.008,0.806,0.009,0.006,0.012,0.007,0.004,0.003
ZFWB07,ZFWB,C19,0.006,0.005,0.009,0.005,0.007,0.006,0.005,0.005,0.004,0.012,0.01,0.005,0.003,0.005,0.004,0.005,0.005,0.004,0.849,0.003,0.012,0.005,0.012,0.006,0.007
ZFWB10,ZFWB,C19,0.013,0.052,0.039,0.007,0.054,0.008,0.005,0.007,0.005,0.04,0.005,0.013,0.009,0.005,0.013,0.003,0.022,0.007,0.652,0.003,0.006,0.009,0.006,0.004,0.011
ZFWB11,ZFWB,C19,0.005,0.003,0.005,0.004,0.013,0.006,0.004,0.004,0.003,0.007,0.004,0.006,0.004,0.005,0.003,0.004,0.004,0.003,0.882,0.003,0.006,0.004,0.008,0.004,0.007
ZFWB12,ZFWB,C19,0.005,0.009,0.004,0.005,0.003,0.003,0.005,0.004,0.005,0.007,0.007,0.005,0.031,0.006,0.003,0.008,0.008,0.027,0.817,0.003,0.005,0.017,0.004,0.006,0.002
ZFWB13,ZFWB,C19,0.005,0.006,0.027,0.004,0.004,0.008,0.012,0.011,0.005,0.017,0.005,0.016,0.058,0.007,0.018,0.005,0.018,0.055,0.668,0.006,0.005,0.01,0.006,0.019,0.004
ZFWB14,ZFWB,C19,0.006,0.003,0.007,0.006,0.005,0.006,0.009,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.003,0.007,0.009,0.004,0.874,0.005,0.004,0.004,0.004,0.004,0.002
ZFWB15,ZFWB,C19,0.007,0.018,0.007,0.008,0.006,0.006,0.005,0.007,0.007,0.02,0.008,0.009,0.005,0.006,0.005,0.011,0.005,0.004,0.82,0.004,0.01,0.006,0.007,0.004,0.005
ZFWB18,ZFWB,C19,0.003,0.002,0.004,0.005,0.003,0.005,0.006,0.004,0.004,0.004,0.004,0.006,0.006,0.006,0.003,0.006,0.006,0.004,0.896,0.004,0.004,0.003,0.004,0.004,0.003
ZFWB19,ZFWB,C19,0.005,0.026,0.004,0.003,0.009,0.007,0.004,0.005,0.004,0.02,0.005,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.81,0.003,0.036,0.01,0.017,0.004,0.004
ZFWB20,ZFWB,C19,0.005,0.008,0.003,0.006,0.005,0.007,0.006,0.004,0.005,0.01,0.004,0.004,0.005,0.006,0.003,0.006,0.011,0.005,0.871,0.005,0.005,0.004,0.006,0.003,0.003
ZFWB21,ZFWB,C19,0.005,0.006,0.004,0.005,0.003,0.011,0.007,0.005,0.006,0.008,0.007,0.006,0.004,0.008,0.003,0.007,0.005,0.004,0.86,0.004,0.012,0.003,0.005,0.007,0.004
ZFWB22,ZFWB,C19,0.009,0.028,0.003,0.014,0.006,0.01,0.013,0.005,0.008,0.033,0.004,0.008,0.047,0.013,0.003,0.012,0.027,0.035,0.666,0.008,0.009,0.021,0.009,0.004,0.004
ZFWB23,ZFWB,C19,0.006,0.006,0.06,0.013,0.006,0.034,0.012,0.018,0.016,0.025,0.038,0.018,0.015,0.021,0.023,0.01,0.044,0.029,0.561,0.007,0.007,0.007,0.005,0.013,0.006
ZFWB24,ZFWB,C19,0.003,0.027,0.008,0.006,0.004,0.021,0.007,0.003,0.004,0.007,0.006,0.007,0.005,0.005,0.003,0.006,0.016,0.005,0.829,0.004,0.006,0.005,0.005,0.003,0.002
ZFWB25,ZFWB,C19,0.011,0.014,0.005,0.007,0.012,0.016,0.006,0.005,0.005,0.013,0.006,0.006,0.004,0.007,0.003,0.006,0.008,0.004,0.83,0.006,0.005,0.007,0.006,0.004,0.004
ZFWB26,ZFWB,C19,0.017,0.005,0.002,0.008,0.005,0.005,0.006,0.004,0.007,0.007,0.003,0.004,0.009,0.005,0.003,0.01,0.008,0.007,0.843,0.005,0.007,0.009,0.012,0.003,0.003
ZFWB27,ZFWB,C19,0.015,0.003,0.003,0.006,0.006,0.008,0.008,0.006,0.006,0.006,0.006,0.004,0.006,0.008,0.004,0.007,0.008,0.009,0.79,0.009,0.047,0.006,0.02,0.004,0.003
ZFWB29,ZFWB,C19,0.006,0.12,0.005,0.005,0.014,0.012,0.005,0.004,0.005,0.041,0.005,0.005,0.006,0.004,0.003,0.007,0.003,0.003,0.686,0.003,0.01,0.029,0.01,0.006,0.003
ZFWB30,ZFWB,C19,0.004,0.01,0.007,0.004,0.017,0.037,0.005,0.005,0.004,0.026,0.007,0.006,0.004,0.005,0.003,0.006,0.004,0.003,0.77,0.003,0.029,0.011,0.014,0.01,0.004
ZFWB31,ZFWB,C19,0.004,0.002,0.004,0.005,0.003,0.005,0.007,0.004,0.004,0.003,0.004,0.004,0.006,0.005,0.003,0.007,0.007,0.005,0.894,0.004,0.005,0.003,0.005,0.004,0.002
ZFWB32,ZFWB,C19,0.032,0.013,0.004,0.005,0.028,0.005,0.006,0.007,0.005,0.024,0.013,0.005,0.004,0.008,0.005,0.006,0.005,0.004,0.745,0.004,0.023,0.019,0.012,0.008,0.013
ZFWB35,ZFWB,C19,0.004,0.002,0.003,0.004,0.003,0.004,0.006,0.003,0.004,0.003,0.003,0.004,0.006,0.004,0.003,0.005,0.005,0.004,0.908,0.003,0.005,0.003,0.005,0.003,0.003
ZFWB36,ZFWB,C19,0.01,0.004,0.004,0.006,0.004,0.006,0.004,0.004,0.004,0.004,0.005,0.007,0.006,0.005,0.003,0.007,0.004,0.008,0.87,0.004,0.01,0.008,0.007,0.005,0.003
ZFWB37,ZFWB,C19,0.008,0.004,0.003,0.007,0.003,0.005,0.005,0.004,0.006,0.005,0.004,0.004,0.009,0.004,0.003,0.009,0.006,0.008,0.874,0.005,0.006,0.006,0.006,0.003,0.003
ZFWB38,ZFWB,C19,0.012,0.004,0.004,0.006,0.005,0.004,0.006,0.003,0.005,0.006,0.004,0.006,0.006,0.005,0.003,0.007,0.004,0.004,0.879,0.004,0.005,0.007,0.006,0.003,0.003
ZFWB39,ZFWB,C19,0.005,0.003,0.005,0.005,0.005,0.011,0.005,0.005,0.003,0.004,0.007,0.008,0.005,0.006,0.004,0.006,0.004,0.005,0.877,0.004,0.006,0.004,0.005,0.005,0.003
ZFWB40,ZFWB,C19,0.003,0.006,0.008,0.004,0.01,0.012,0.005,0.005,0.004,0.019,0.007,0.006,0.004,0.005,0.004,0.006,0.004,0.004,0.844,0.003,0.009,0.007,0.008,0.01,0.005
ZFWB41,ZFWB,C19,0.006,0.007,0.006,0.007,0.007,0.006,0.006,0.006,0.007,0.01,0.009,0.008,0.007,0.006,0.004,0.012,0.005,0.005,0.836,0.004,0.007,0.006,0.009,0.007,0.005
ZFWB42,ZFWB,C19,0.003,0.002,0.005,0.004,0.003,0.004,0.005,0.004,0.003,0.004,0.005,0.005,0.005,0.004,0.003,0.005,0.004,0.004,0.91,0.003,0.003,0.003,0.003,0.004,0.002
ZFWB43,ZFWB,C19,0.005,0.002,0.003,0.004,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.91,0.003,0.007,0.003,0.005,0.003,0.003
ZFWB44,ZFWB,C19,0.283,0.008,0.003,0.007,0.007,0.005,0.005,0.004,0.005,0.008,0.005,0.005,0.006,0.005,0.003,0.007,0.004,0.007,0.237,0.005,0.285,0.023,0.062,0.005,0.004
ZFWB46,ZFWB,C19,0.006,0.006,0.004,0.004,0.01,0.034,0.005,0.003,0.003,0.009,0.005,0.005,0.004,0.004,0.003,0.005,0.004,0.003,0.808,0.003,0.038,0.016,0.01,0.005,0.002
