Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-319,/MSBG,CF,4.842,NA,CR,4.687,B,4.66,ENP,4.609,WB,4.433
TMA-ZAIN-G-320,/MSBG,SF,4.505,NA,ZFI,4.498,B,4.445,TS,4.436,WB,4.425
TMA-ZAIN-G-321,/MSBG,WB,5.11,NA,SF,4.434,B,4.383,TS,4.376,ENP,4.374
TMA-ZAIN-G-322,/AA,TS,4.738,NA,SW,4.502,B,4.494,CR,4.402,ENP,4.331
TMA-ZAIN-G-323,/AA,ONF,4.576,NA,BP,4.431,BP,4.424,BP,4.345,CF,4.321
TMA-ZAIN-G-324,/HBG,B,4.692,NA,ZFI,4.464,TS,4.403,CR,4.365,SF,4.326
TMA-ZAIN-G-325,/HBG,B,4.629,NA,ENP,4.604,CR,4.563,CF,4.523,BP,4.523
TMA-ZAIN-G-326,/FTBG,ENP,4.296,NA,CNS,4.265,CC,4.224,O,4.19,CF,4.181
TMA-ZAIN-G-327,/FTBG,B,4.993,NA,CR,4.349,BP,4.345,TS,4.297,CC,4.241
TMA-ZAIN-G-328,/FTBG,BP,4.433,NA,SF,4.377,BP,4.344,B,4.339,SW,4.313
TMA-ZAIN-G-329,/FTBG,TS,5.103,NA,B,4.72,CF,4.513,SW,4.331,ENP,4.31
TMA-ZAIN-G-330,/FTBG,CC,4.596,NA,O,4.39,TS,4.38,CF,4.281,ENP,4.232
TMA-ZAIN-G-331,/FTBG,B,4.952,NA,W,4.54,SW,4.493,ZFI,4.439,CR,4.344
TMA-ZAIN-G-332,/FTBG,B,4.484,NA,TS,4.471,ENP,4.362,CR,4.294,ONF,4.231
