Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0062,/AA,Pryor,87.55,NA,Magazine,11.976,Porter,0.475,Sugar_Loaf,0
QAc-G-0063,/AA,Pryor,80.604,NA,Magazine,17.675,Porter,1.721,Sugar_Loaf,0
QAc-G-0064,/AA,Pryor,98.564,Magazine,Porter,1.376,Magazine,0.06,Sugar_Loaf,0
QAc-G-0065,/AA,Pryor,98.801,Magazine,Porter,1.153,Magazine,0.046,Sugar_Loaf,0
QAc-G-0066,/AA,Pryor,90.126,Magazine,Magazine,9.775,Porter,0.098,Sugar_Loaf,0
QAc-G-0067,/AA,Magazine,97.677,Magazine,Pryor,2.221,Porter,0.102,Sugar_Loaf,0
QAc-G-0068,/AA,Porter,60.439,Magazine,Magazine,32.804,Pryor,6.753,Sugar_Loaf,0.005
QAc-G-0070,/AA,Pryor,58.902,Magazine,Magazine,40.917,Porter,0.181,Sugar_Loaf,0
QAc-G-0071,/AA,Pryor,60.92,Magazine,Magazine,39.018,Porter,0.062,Sugar_Loaf,0
QAc-G-0072,/AA,Pryor,88.655,Magazine,Magazine,10.623,Porter,0.722,Sugar_Loaf,0
QAc-G-0073,/AA,Magazine,78.485,NA,Pryor,21.476,Porter,0.038,Sugar_Loaf,0
QAc-G-0074,/AA,Pryor,82.926,NA,Porter,16.866,Magazine,0.205,Sugar_Loaf,0.003
QAc-G-0075,/AA,Magazine,99.986,NA,Sugar_Loaf,0.01,Porter,0.003,Pryor,0
QAc-G-0076,/AA,Magazine,96.708,NA,Porter,3.194,Pryor,0.088,Sugar_Loaf,0.01
QAc-G-0077,/AA,Magazine,99.669,Pryor,Pryor,0.325,Porter,0.006,Sugar_Loaf,0
QAc-G-0078,/AA,Magazine,78.495,Pryor,Pryor,21.342,Porter,0.163,Sugar_Loaf,0
QAc-G-0079,/AA,Magazine,50.905,Pryor,Pryor,48.056,Porter,1.039,Sugar_Loaf,0
QAc-G-0080,/AA,Pryor,98.836,Pryor,Magazine,0.895,Sugar_Loaf,0.257,Porter,0.012
QAc-G-0081,/AA,Magazine,99.96,NA,Porter,0.03,Sugar_Loaf,0.009,Pryor,0
QAc-G-0082,/AA,Magazine,99.278,NA,Sugar_Loaf,0.356,Pryor,0.226,Porter,0.139
QAc-G-0083,/AA,Pryor,99.658,Magazine,Magazine,0.341,Porter,0.001,Sugar_Loaf,0
QAc-G-0106,/TMA,Magazine,99.982,Magazine,Pryor,0.016,Porter,0.002,Sugar_Loaf,0
QAc-G-0107,/TMA,Magazine,99.996,Magazine,Porter,0.004,Pryor,0,Sugar_Loaf,0
QAc-G-0108,/TMA,Magazine,97.565,Magazine,Porter,2.113,Pryor,0.322,Sugar_Loaf,0
QAc-G-0109,/TMA,Magazine,99.875,Magazine,Pryor,0.125,Porter,0,Sugar_Loaf,0
QAc-G-0110,/TMA,Magazine,99.967,Magazine,Pryor,0.023,Porter,0.01,Sugar_Loaf,0
QAc-G-0111,/TMA,Magazine,99.971,Magazine,Pryor,0.015,Porter,0.014,Sugar_Loaf,0
QAc-G-0112,/TMA,Magazine,99.923,Magazine,Pryor,0.057,Porter,0.018,Sugar_Loaf,0.003
QAc-G-0113,/TMA,Magazine,99.962,Magazine,Porter,0.033,Pryor,0.005,Sugar_Loaf,0
QAc-G-0114,/TMA,Magazine,99.864,Magazine,Pryor,0.135,Porter,0.001,Sugar_Loaf,0
QAc-G-0115,/TMA,Magazine,93.836,Magazine,Porter,6.071,Pryor,0.07,Sugar_Loaf,0.023
QAc-G-0116,/TMA,Magazine,99.998,Magazine,Pryor,0.002,Porter,0.001,Sugar_Loaf,0
QAc-G-0117,/TMA,Magazine,73.055,Magazine,Porter,24.34,Pryor,2.605,Sugar_Loaf,0
QAc-G-0118,/TMA,Magazine,98.234,Magazine,Porter,1.661,Pryor,0.081,Sugar_Loaf,0.025
QAc-G-0119,/TMA,Magazine,99.856,Magazine,Sugar_Loaf,0.128,Porter,0.014,Pryor,0.002
QAc-G-0120,/TMA,Magazine,99.638,Magazine,Sugar_Loaf,0.281,Porter,0.069,Pryor,0.012
QAc-G-0121,/TMA,Pryor,99.033,Magazine,Magazine,0.925,Porter,0.041,Sugar_Loaf,0
QAc-G-0122,/TMA,Pryor,99.906,Magazine,Porter,0.072,Magazine,0.023,Sugar_Loaf,0
QAc-G-0123,/TMA,Pryor,59.073,Magazine,Magazine,40.836,Porter,0.09,Sugar_Loaf,0.001
QAc-G-0124,/TMA,Pryor,97.201,Magazine,Magazine,2.605,Porter,0.194,Sugar_Loaf,0
QAc-G-0125,/TMA,Pryor,99.801,Magazine,Magazine,0.158,Porter,0.041,Sugar_Loaf,0
QAc-G-0126,/TMA,Pryor,99.235,Magazine,Magazine,0.532,Porter,0.233,Sugar_Loaf,0
QAc-G-0127,/TMA,Pryor,90.395,Magazine,Porter,9.6,Magazine,0.005,Sugar_Loaf,0
QAc-G-0128,/TMA,Pryor,53.996,Magazine,Porter,43.809,Magazine,2.196,Sugar_Loaf,0
QAc-G-0129,/TMA,Pryor,71.473,Magazine,Porter,18.082,Magazine,10.445,Sugar_Loaf,0
