Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0043,/DBG,Sugar_Loaf,25.397,Porter,Magazine,25.321,Pryor,24.986,Porter,24.296
QAc-G-0044,/DBG,Pryor,26.599,Porter,Porter,25.635,Magazine,25.187,Sugar_Loaf,22.578
QAc-G-0045,/DBG,Pryor,27.17,Porter,Magazine,26.319,Porter,24.564,Sugar_Loaf,21.947
QAc-G-0046,/DBG,Porter,26.547,Porter,Magazine,25.58,Sugar_Loaf,25.05,Pryor,22.824
QAc-G-0047,/DBG,Pryor,26.095,Porter,Magazine,25.811,Porter,25.059,Sugar_Loaf,23.035
QAc-G-0048,/DBG,Porter,27.129,Porter,Magazine,26.617,Sugar_Loaf,24.847,Pryor,21.407
QAc-G-0049,/DBG,Magazine,27.179,Pryor,Pryor,25.828,Porter,24.942,Sugar_Loaf,22.052
QAc-G-0050,/DBG,Magazine,26.273,Pryor,Sugar_Loaf,25.18,Porter,24.691,Pryor,23.856
QAc-G-0051,/DBG,Pryor,28.748,Pryor,Magazine,26.095,Porter,23.16,Sugar_Loaf,21.997
QAc-G-0052,/DBG,Pryor,26.31,Pryor,Magazine,25.712,Porter,24.75,Sugar_Loaf,23.228
