Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-101,/MBC,LB,7.043,W,ENP,6.3,K,5.944,CF,5.788,BP,5.743
TMA-ZAIN-G-102,/MBC,ENP,5.65,W,CC,5.372,CNS,5.116,CF,4.96,ZFW,4.871
TMA-ZAIN-G-103,/MBC,SW,8.182,SW,TS,6.981,K,6.133,B,5.206,SW,4.478
TMA-ZAIN-G-104,/MBC,SW,7.619,SW,K,6.727,TS,6.26,B,5.158,CF,4.513
TMA-ZAIN-G-105,/MBC,ZFSF,8.392,SW,SW,7.354,SW,7.128,ZFI,5.783,ZFCR,5.581
TMA-ZAIN-G-106,/MBC,SW,8.493,SW,K,6.649,TS,6.376,B,5.259,SW,4.479
TMA-ZAIN-G-107,/MBC,ENP,6.999,NWS_North,WB,6.022,TSP,5.926,TSP,5.837,BP,5.685
TMA-ZAIN-G-108,/MBC,TS,5.993,NWS_North,BP,5.887,BP,5.319,SW,5.203,WB,5.058
TMA-ZAIN-G-109,/MBC,B,6.093,NWS_North,ENP,5.834,TSP,5.666,LB,5.254,K,5.032
TMA-ZAIN-G-110,/MBC,CF,6.848,NWS_North,K,6,LB,5.599,ENP,5.376,O,4.987
TMA-ZAIN-G-111,/MBC,ENP,5.976,NWS_North,BP,5.665,TSP,5.663,O,5.641,BP,5.273
TMA-ZAIN-G-112,/MBC,ENP,6.901,NWS_North,SW,5.856,TS,5.558,CF,4.791,B,4.611
TMA-ZAIN-G-113,/MBC,CF,6.115,NWS_North,TSP,5.598,ENP,5.521,BP,5.262,LB,5.033
TMA-ZAIN-G-114,/MBC,SW,6.926,NWS_North,B,6.524,TS,6.035,ZFW,5.294,ZFCR,5.258
TMA-ZAIN-G-115,/MBC,K,6.549,NWS_North,SW,5.941,B,5.941,TS,5.365,CF,4.862
TMA-ZAIN-G-116,/MBC,SW,7.397,NWS_North,TS,6.262,B,5.729,ZFCR,5.125,SW,5.019
TMA-ZAIN-G-117,/MBC,BP,6.09,ONF,BP,5.35,ENP,4.925,ONF,4.904,SW,4.872
TMA-ZAIN-G-118,/MBC,WB,7.899,ONF,LTI,5.979,ENP,5.893,TSP,5.128,TSP,4.841
TMA-ZAIN-G-119,/MBC,BP,6.401,ONF,ONF,6.203,BP,6.007,ZFFDSP,5.26,ZFSF,4.856
TMA-ZAIN-G-120,/MBC,BP,5.733,ONF,BP,5.22,CC,5.037,ENP,5.007,SW,4.682
TMA-ZAIN-G-121,/MBC,WB,5.877,ONF,BP,5.302,SW,5.19,BP,4.972,SW,4.904
TMA-ZAIN-G-122,/MBC,WB,8.732,ONF,BP,5.478,BP,5.001,LTI,4.786,ENP,4.677
TMA-ZAIN-G-123,/MBC,ENP,6.67,SF,TSP,6.301,TSP,6.014,BP,5.363,WB,5.267
