Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-133,MBC,0.013,0.883,0.012,0.003,0.006,0.003,0.005,0.013,0.012,0.015,0.007,0.003,0.002,0.008,0.009,0.006
TMA-ZAIN-G-134,MBC,0.3,0.044,0.023,0.013,0.062,0.003,0.047,0.087,0.216,0.011,0.013,0.006,0.017,0.031,0.012,0.114
TMA-ZAIN-G-135,MBC,0.04,0.212,0.021,0.006,0.056,0.003,0.033,0.049,0.246,0.007,0.005,0.004,0.01,0.078,0.006,0.224
TMA-ZAIN-G-136,MBC,0.017,0.027,0.008,0.004,0.026,0.003,0.018,0.014,0.629,0.01,0.003,0.003,0.008,0.205,0.015,0.01
TMA-ZAIN-G-137,MBC,0.023,0.022,0.015,0.004,0.022,0.004,0.005,0.389,0.379,0.048,0.007,0.004,0.007,0.039,0.029,0.006
TMA-ZAIN-G-138,MBC,0.008,0.015,0.005,0.005,0.019,0.004,0.02,0.004,0.094,0.01,0.004,0.004,0.014,0.78,0.008,0.005
TMA-ZAIN-G-139,MBC,0.041,0.179,0.015,0.003,0.011,0.004,0.004,0.011,0.466,0.038,0.004,0.003,0.003,0.174,0.027,0.02
TMA-ZAIN-G-140,MBC,0.017,0.128,0.056,0.004,0.037,0.005,0.009,0.01,0.382,0.046,0.003,0.003,0.007,0.258,0.021,0.014
TMA-ZAIN-G-141,MBC,0.042,0.018,0.004,0.004,0.015,0.004,0.004,0.009,0.43,0.053,0.01,0.004,0.004,0.102,0.291,0.006
TMA-ZAIN-G-142,MBC,0.023,0.045,0.005,0.005,0.032,0.006,0.01,0.006,0.445,0.046,0.006,0.004,0.003,0.05,0.295,0.02
TMA-ZAIN-G-143,MBC,0.016,0.012,0.004,0.004,0.013,0.003,0.005,0.011,0.225,0.051,0.006,0.003,0.003,0.103,0.534,0.006
TMA-ZAIN-G-144,MBC,0.04,0.06,0.005,0.004,0.012,0.004,0.006,0.013,0.471,0.212,0.011,0.003,0.003,0.09,0.058,0.009
TMA-ZAIN-G-145,MBC,0.089,0.051,0.021,0.011,0.008,0.003,0.011,0.006,0.443,0.066,0.023,0.005,0.008,0.196,0.05,0.009
TMA-ZAIN-G-146,MBC,0.018,0.049,0.018,0.003,0.043,0.003,0.005,0.293,0.063,0.04,0.006,0.002,0.002,0.345,0.103,0.006
TMA-ZAIN-G-147,MBC,0.006,0.005,0.003,0.003,0.02,0.003,0.004,0.005,0.48,0.007,0.003,0.003,0.003,0.007,0.445,0.004
TMA-ZAIN-G-148,MBC,0.007,0.006,0.004,0.003,0.01,0.003,0.004,0.008,0.664,0.026,0.003,0.003,0.003,0.009,0.241,0.005
TMA-ZAIN-G-149,MBC,0.019,0.018,0.015,0.004,0.01,0.003,0.005,0.004,0.623,0.005,0.003,0.003,0.003,0.005,0.246,0.037
TMA-ZAIN-G-150,MBC,0.019,0.027,0.026,0.008,0.009,0.015,0.021,0.005,0.69,0.035,0.012,0.018,0.005,0.008,0.084,0.018
TMA-ZAIN-G-151,MBC,0.007,0.013,0.044,0.006,0.014,0.022,0.011,0.061,0.606,0.109,0.011,0.015,0.004,0.023,0.044,0.01
TMA-ZAIN-G-152,MBC,0.152,0.006,0.004,0.003,0.005,0.003,0.003,0.007,0.006,0.068,0.005,0.002,0.003,0.701,0.018,0.015
TMA-ZAIN-G-153,MBC,0.014,0.006,0.005,0.003,0.004,0.005,0.003,0.006,0.007,0.147,0.005,0.002,0.003,0.743,0.032,0.015
TMA-ZAIN-G-154,MBC,0.078,0.03,0.013,0.003,0.013,0.004,0.004,0.012,0.113,0.033,0.004,0.003,0.002,0.634,0.029,0.027
TMA-ZAIN-G-155,MBC,0.006,0.007,0.004,0.003,0.004,0.003,0.004,0.004,0.005,0.017,0.003,0.002,0.002,0.915,0.02,0.004
TMA-ZAIN-G-156,MBC,0.009,0.01,0.003,0.003,0.006,0.004,0.005,0.006,0.027,0.009,0.004,0.003,0.003,0.89,0.011,0.006
TMA-ZAIN-G-157,MBC,0.051,0.023,0.009,0.004,0.004,0.005,0.003,0.003,0.016,0.022,0.004,0.002,0.003,0.739,0.029,0.082
TMA-ZAIN-G-158,MBC,0.07,0.019,0.005,0.004,0.008,0.004,0.005,0.005,0.107,0.018,0.004,0.003,0.003,0.549,0.058,0.138
TMA-ZAIN-G-159,MBC,0.012,0.008,0.004,0.006,0.02,0.003,0.003,0.005,0.023,0.032,0.006,0.003,0.003,0.328,0.54,0.004
TMA-ZAIN-G-160,MBC,0.007,0.014,0.005,0.003,0.146,0.005,0.004,0.015,0.139,0.024,0.004,0.002,0.002,0.414,0.213,0.005
TMA-ZAIN-G-161,MBC,0.005,0.01,0.008,0.003,0.126,0.005,0.004,0.023,0.039,0.061,0.004,0.003,0.002,0.576,0.127,0.005
TMA-ZAIN-G-162,MBC,0.054,0.127,0.019,0.005,0.014,0.003,0.006,0.007,0.35,0.034,0.006,0.003,0.002,0.312,0.042,0.017
TMA-ZAIN-G-163,MBC,0.008,0.005,0.011,0.005,0.005,0.015,0.011,0.005,0.007,0.007,0.009,0.015,0.005,0.882,0.006,0.003
