Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
ZFENP61,ZFENP,0.003,0.003,0.005,0.009,0.015,0.01,0.008,0.003,0.004,0.003,0.004,0.004,0.005,0.005,0.019,0.003,0.861,0.035
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFFDSP01,ZFFDSP,0.015,0.005,0.014,0.003,0.004,0.006,0.004,0.341,0.185,0.03,0.022,0.015,0.094,0.232,0.006,0.016,0.003,0.005
ZFFDSP02,ZFFDSP,0.005,0.003,0.007,0.002,0.003,0.003,0.003,0.006,0.012,0.008,0.005,0.003,0.904,0.022,0.003,0.004,0.002,0.002
ZFFDSP04,ZFFDSP,0.01,0.006,0.016,0.003,0.004,0.005,0.003,0.094,0.09,0.029,0.008,0.004,0.27,0.437,0.004,0.012,0.002,0.004
ZFFDSP05,ZFFDSP,0.015,0.023,0.013,0.005,0.005,0.011,0.004,0.073,0.099,0.152,0.102,0.007,0.431,0.037,0.004,0.012,0.005,0.004
ZFFDSP06,ZFFDSP,0.025,0.058,0.088,0.002,0.011,0.004,0.003,0.131,0.133,0.021,0.01,0.004,0.204,0.267,0.012,0.018,0.002,0.003
ZFFDSP07,ZFFDSP,0.016,0.01,0.009,0.006,0.015,0.01,0.073,0.107,0.147,0.023,0.008,0.005,0.366,0.142,0.004,0.05,0.005,0.003
ZFFDSP08,ZFFDSP,0.179,0.033,0.022,0.004,0.008,0.008,0.026,0.293,0.062,0.104,0.016,0.01,0.072,0.032,0.004,0.119,0.004,0.003
ZFFDSP10,ZFFDSP,0.019,0.007,0.017,0.005,0.005,0.007,0.015,0.035,0.063,0.322,0.009,0.004,0.452,0.017,0.004,0.012,0.004,0.004
ZFFDSP11,ZFFDSP,0.052,0.029,0.012,0.004,0.004,0.008,0.004,0.049,0.354,0.242,0.01,0.004,0.125,0.084,0.004,0.008,0.003,0.005
ZFFDSP12,ZFFDSP,0.632,0.057,0.005,0.002,0.003,0.004,0.004,0.035,0.049,0.097,0.008,0.004,0.048,0.011,0.003,0.034,0.003,0.002
ZFFDSP13,ZFFDSP,0.069,0.013,0.09,0.004,0.008,0.009,0.008,0.065,0.053,0.284,0.328,0.016,0.019,0.016,0.004,0.005,0.006,0.003
ZFFDSP14,ZFFDSP,0.009,0.006,0.007,0.005,0.007,0.009,0.016,0.025,0.119,0.013,0.006,0.004,0.539,0.198,0.005,0.023,0.005,0.003
ZFFDSP16,ZFFDSP,0.041,0.018,0.006,0.003,0.006,0.006,0.004,0.005,0.794,0.011,0.008,0.009,0.022,0.045,0.006,0.004,0.006,0.005
ZFFDSP17,ZFFDSP,0.028,0.014,0.018,0.003,0.005,0.006,0.004,0.021,0.507,0.124,0.009,0.005,0.09,0.146,0.006,0.007,0.003,0.004
ZFFDSP18,ZFFDSP,0.007,0.009,0.008,0.002,0.004,0.004,0.003,0.008,0.014,0.012,0.004,0.004,0.683,0.213,0.005,0.011,0.003,0.005
ZFFDSP19,ZFFDSP,0.028,0.016,0.014,0.003,0.015,0.004,0.004,0.012,0.228,0.061,0.02,0.099,0.283,0.181,0.006,0.019,0.003,0.004
ZFFDSP21,ZFFDSP,0.085,0.007,0.031,0.002,0.017,0.005,0.004,0.023,0.43,0.058,0.093,0.065,0.132,0.031,0.004,0.007,0.003,0.003
ZFFDSP22,ZFFDSP,0.069,0.039,0.011,0.002,0.005,0.005,0.004,0.053,0.253,0.024,0.01,0.004,0.207,0.143,0.003,0.161,0.003,0.002
ZFFDSP23,ZFFDSP,0.007,0.01,0.01,0.002,0.004,0.006,0.003,0.024,0.036,0.019,0.057,0.007,0.714,0.022,0.003,0.07,0.003,0.002
ZFFDSP24,ZFFDSP,0.033,0.006,0.034,0.003,0.004,0.005,0.005,0.021,0.021,0.05,0.011,0.007,0.75,0.033,0.004,0.006,0.003,0.004
ZFFDSP26,ZFFDSP,0.02,0.021,0.014,0.003,0.004,0.005,0.004,0.066,0.052,0.067,0.046,0.008,0.61,0.053,0.004,0.016,0.003,0.004
ZFFDSP27,ZFFDSP,0.012,0.01,0.008,0.003,0.004,0.003,0.004,0.014,0.025,0.016,0.011,0.007,0.839,0.025,0.004,0.007,0.003,0.004
ZFFDSP28,ZFFDSP,0.02,0.007,0.012,0.011,0.006,0.011,0.017,0.022,0.013,0.351,0.01,0.004,0.454,0.014,0.019,0.006,0.005,0.017
ZFFDSP30,ZFFDSP,0.014,0.004,0.009,0.003,0.004,0.005,0.005,0.685,0.046,0.058,0.02,0.035,0.014,0.071,0.005,0.004,0.004,0.013
ZFFDSP31,ZFFDSP,0.013,0.152,0.208,0.002,0.007,0.005,0.006,0.022,0.015,0.075,0.009,0.007,0.38,0.059,0.025,0.009,0.004,0.003
ZFFDSP32,ZFFDSP,0.049,0.006,0.007,0.003,0.003,0.004,0.005,0.012,0.555,0.023,0.011,0.004,0.268,0.034,0.004,0.006,0.003,0.002
ZFFDSP33,ZFFDSP,0.095,0.027,0.007,0.003,0.003,0.004,0.003,0.037,0.408,0.076,0.029,0.007,0.27,0.01,0.005,0.01,0.003,0.003
ZFFDSP34,ZFFDSP,0.052,0.228,0.096,0.002,0.009,0.005,0.004,0.19,0.022,0.022,0.01,0.006,0.208,0.119,0.008,0.012,0.003,0.004
ZFFDSP35,ZFFDSP,0.018,0.006,0.028,0.003,0.004,0.005,0.004,0.065,0.034,0.079,0.011,0.005,0.662,0.059,0.005,0.007,0.003,0.004
ZFFDSP37,ZFFDSP,0.04,0.007,0.01,0.002,0.003,0.003,0.004,0.007,0.126,0.029,0.007,0.005,0.721,0.02,0.004,0.004,0.003,0.003
ZFFDSP38,ZFFDSP,0.03,0.022,0.01,0.003,0.003,0.004,0.004,0.033,0.015,0.016,0.005,0.005,0.742,0.093,0.004,0.005,0.003,0.004
ZFFDSP39,ZFFDSP,0.008,0.009,0.011,0.002,0.003,0.003,0.003,0.016,0.009,0.052,0.089,0.007,0.764,0.009,0.003,0.007,0.003,0.003
ZFFDSP40,ZFFDSP,0.012,0.007,0.011,0.003,0.003,0.003,0.004,0.012,0.008,0.035,0.016,0.006,0.86,0.008,0.003,0.004,0.003,0.004
ZFFDSP42,ZFFDSP,0.006,0.009,0.012,0.002,0.004,0.004,0.003,0.009,0.007,0.022,0.009,0.005,0.867,0.015,0.003,0.017,0.003,0.003
ZFFDSP43,ZFFDSP,0.006,0.009,0.006,0.002,0.003,0.003,0.003,0.006,0.006,0.011,0.009,0.006,0.907,0.007,0.003,0.007,0.003,0.003
ZFFDSP44,ZFFDSP,0.349,0.008,0.023,0.003,0.003,0.005,0.005,0.036,0.063,0.214,0.01,0.01,0.238,0.015,0.005,0.006,0.003,0.004
ZFFDSP45,ZFFDSP,0.018,0.02,0.019,0.002,0.004,0.003,0.004,0.026,0.01,0.018,0.007,0.004,0.792,0.06,0.003,0.004,0.003,0.003
ZFFDSP46,ZFFDSP,0.006,0.004,0.011,0.002,0.003,0.003,0.004,0.005,0.007,0.021,0.005,0.004,0.894,0.016,0.003,0.004,0.003,0.003
ZFFDSP47,ZFFDSP,0.034,0.01,0.025,0.003,0.004,0.006,0.005,0.132,0.03,0.156,0.071,0.016,0.457,0.025,0.004,0.016,0.003,0.004
ZFFDSP48,ZFFDSP,0.012,0.006,0.011,0.003,0.003,0.004,0.004,0.008,0.009,0.025,0.021,0.007,0.867,0.007,0.003,0.005,0.003,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFI01,ZFI,0.005,0.004,0.006,0.021,0.009,0.009,0.013,0.008,0.007,0.005,0.004,0.01,0.004,0.007,0.036,0.005,0.008,0.838
ZFI02,ZFI,0.007,0.005,0.005,0.011,0.005,0.007,0.004,0.006,0.005,0.006,0.005,0.009,0.005,0.005,0.022,0.005,0.005,0.883
ZFI03,ZFI,0.005,0.004,0.005,0.006,0.006,0.008,0.007,0.006,0.005,0.005,0.004,0.009,0.004,0.006,0.066,0.003,0.007,0.845
ZFI04,ZFI,0.004,0.003,0.004,0.014,0.004,0.005,0.004,0.004,0.003,0.005,0.003,0.005,0.004,0.004,0.895,0.003,0.006,0.029
ZFI05,ZFI,0.006,0.005,0.005,0.005,0.004,0.006,0.011,0.006,0.005,0.006,0.007,0.019,0.004,0.007,0.008,0.003,0.009,0.883
ZFI06,ZFI,0.022,0.005,0.014,0.012,0.003,0.009,0.007,0.019,0.015,0.021,0.03,0.07,0.017,0.011,0.029,0.003,0.022,0.689
ZFI07,ZFI,0.004,0.003,0.006,0.006,0.005,0.006,0.007,0.005,0.004,0.005,0.004,0.005,0.004,0.006,0.66,0.003,0.007,0.262
ZFI08,ZFI,0.005,0.004,0.005,0.01,0.008,0.013,0.007,0.004,0.004,0.004,0.003,0.005,0.003,0.004,0.119,0.004,0.011,0.787
ZFI09,ZFI,0.005,0.004,0.005,0.008,0.005,0.006,0.007,0.005,0.004,0.005,0.005,0.008,0.004,0.006,0.02,0.003,0.011,0.888
ZFI10,ZFI,0.008,0.006,0.006,0.02,0.005,0.008,0.005,0.008,0.006,0.008,0.006,0.096,0.005,0.009,0.101,0.005,0.011,0.686
ZFI11,ZFI,0.005,0.003,0.004,0.022,0.005,0.009,0.011,0.005,0.004,0.005,0.005,0.013,0.003,0.004,0.239,0.003,0.01,0.65
ZFI12,ZFI,0.006,0.004,0.008,0.005,0.009,0.018,0.007,0.006,0.005,0.006,0.005,0.018,0.005,0.008,0.186,0.004,0.007,0.694
ZFI13,ZFI,0.004,0.003,0.005,0.006,0.005,0.006,0.017,0.007,0.004,0.006,0.004,0.008,0.004,0.006,0.013,0.003,0.007,0.891
ZFI14,ZFI,0.01,0.006,0.006,0.005,0.004,0.004,0.006,0.011,0.009,0.007,0.007,0.008,0.009,0.012,0.01,0.004,0.005,0.878
ZFI15,ZFI,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.004,0.004,0.004,0.004,0.006,0.004,0.005,0.009,0.003,0.006,0.922
ZFI16,ZFI,0.004,0.003,0.006,0.003,0.004,0.006,0.004,0.004,0.004,0.005,0.004,0.006,0.004,0.007,0.018,0.003,0.005,0.911
ZFI17,ZFI,0.005,0.004,0.006,0.011,0.004,0.008,0.007,0.005,0.004,0.006,0.006,0.015,0.004,0.005,0.114,0.003,0.01,0.784
ZFI18,ZFI,0.004,0.003,0.004,0.009,0.003,0.005,0.006,0.004,0.003,0.005,0.004,0.007,0.003,0.003,0.022,0.002,0.009,0.902
ZFI19,ZFI,0.004,0.003,0.003,0.005,0.003,0.006,0.008,0.004,0.003,0.004,0.004,0.006,0.003,0.003,0.013,0.002,0.006,0.92
ZFI20,ZFI,0.005,0.004,0.005,0.004,0.004,0.006,0.004,0.007,0.005,0.005,0.005,0.005,0.006,0.005,0.009,0.003,0.004,0.914
ZFI21,ZFI,0.015,0.004,0.006,0.004,0.003,0.005,0.004,0.02,0.012,0.009,0.01,0.009,0.011,0.009,0.006,0.003,0.004,0.865
ZFI22,ZFI,0.005,0.005,0.005,0.009,0.007,0.005,0.005,0.005,0.006,0.005,0.004,0.005,0.006,0.008,0.026,0.005,0.005,0.884
ZFI23,ZFI,0.004,0.004,0.006,0.005,0.005,0.008,0.006,0.005,0.004,0.005,0.004,0.009,0.004,0.006,0.043,0.003,0.006,0.874
ZFI24,ZFI,0.005,0.005,0.007,0.004,0.008,0.013,0.009,0.007,0.005,0.006,0.005,0.015,0.005,0.009,0.075,0.004,0.007,0.808
ZFI25,ZFI,0.006,0.006,0.006,0.005,0.01,0.007,0.006,0.006,0.006,0.007,0.004,0.007,0.006,0.01,0.059,0.004,0.007,0.838
ZFI26,ZFI,0.005,0.004,0.006,0.006,0.009,0.009,0.013,0.005,0.005,0.005,0.004,0.006,0.005,0.006,0.098,0.003,0.008,0.804
ZFI27,ZFI,0.008,0.005,0.008,0.006,0.006,0.013,0.019,0.008,0.006,0.007,0.008,0.052,0.004,0.008,0.06,0.003,0.01,0.769
ZFK01,ZFI,0.005,0.004,0.005,0.003,0.006,0.004,0.932,0.004,0.003,0.004,0.004,0.007,0.003,0.004,0.003,0.004,0.004,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFK02,ZFK,0.004,0.004,0.005,0.003,0.005,0.004,0.933,0.004,0.004,0.004,0.004,0.007,0.003,0.003,0.003,0.004,0.004,0.003
ZFK03,ZFK,0.004,0.003,0.004,0.004,0.005,0.004,0.936,0.004,0.003,0.004,0.003,0.006,0.003,0.003,0.003,0.003,0.003,0.003
ZFK04,ZFK,0.003,0.003,0.004,0.004,0.004,0.004,0.942,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.004
ZFK05,ZFK,0.003,0.003,0.003,0.008,0.009,0.003,0.93,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.008,0.003,0.005,0.005
ZFK06,ZFK,0.004,0.003,0.004,0.004,0.007,0.004,0.928,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.007,0.003,0.005,0.007
ZFK07,ZFK,0.003,0.003,0.007,0.003,0.006,0.005,0.926,0.005,0.004,0.005,0.005,0.006,0.004,0.004,0.003,0.006,0.003,0.002
ZFK08,ZFK,0.004,0.003,0.005,0.004,0.004,0.005,0.933,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.004
ZFK10,ZFK,0.004,0.003,0.004,0.004,0.005,0.003,0.938,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.004
ZFK11,ZFK,0.004,0.003,0.004,0.005,0.009,0.003,0.93,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.006,0.003,0.005,0.004
ZFK12,ZFK,0.005,0.004,0.011,0.003,0.008,0.009,0.889,0.015,0.006,0.007,0.007,0.004,0.004,0.007,0.003,0.012,0.004,0.003
ZFK13,ZFK,0.017,0.007,0.013,0.005,0.006,0.005,0.845,0.026,0.013,0.011,0.01,0.004,0.011,0.01,0.003,0.007,0.003,0.003
ZFK14,ZFK,0.018,0.01,0.022,0.01,0.11,0.007,0.668,0.039,0.017,0.017,0.01,0.01,0.009,0.013,0.006,0.024,0.005,0.005
ZFK15,ZFK,0.017,0.007,0.007,0.006,0.004,0.004,0.884,0.012,0.01,0.009,0.007,0.003,0.009,0.007,0.003,0.004,0.004,0.004
ZFK16,ZFK,0.006,0.006,0.008,0.003,0.007,0.006,0.907,0.009,0.005,0.006,0.005,0.005,0.004,0.006,0.003,0.007,0.004,0.002
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFLB01,ZFLB,0.011,0.005,0.011,0.854,0.003,0.004,0.008,0.014,0.01,0.016,0.009,0.005,0.014,0.006,0.006,0.004,0.011,0.008
ZFLB02,ZFLB,0.005,0.003,0.004,0.762,0.003,0.008,0.004,0.007,0.004,0.006,0.004,0.003,0.005,0.004,0.048,0.004,0.112,0.014
ZFLB03,ZFLB,0.013,0.007,0.004,0.555,0.005,0.008,0.016,0.014,0.008,0.006,0.014,0.074,0.004,0.004,0.008,0.005,0.248,0.008
ZFLB04,ZFLB,0.031,0.007,0.008,0.539,0.006,0.005,0.012,0.095,0.016,0.015,0.024,0.179,0.008,0.011,0.006,0.005,0.02,0.014
ZFLB05,ZFLB,0.006,0.004,0.007,0.882,0.003,0.004,0.006,0.009,0.006,0.009,0.009,0.017,0.006,0.004,0.005,0.002,0.008,0.013
ZFLB06,ZFLB,0.015,0.013,0.006,0.842,0.009,0.004,0.042,0.01,0.007,0.008,0.006,0.007,0.004,0.005,0.004,0.005,0.011,0.004
ZFLB07,ZFLB,0.033,0.015,0.014,0.453,0.008,0.011,0.073,0.024,0.013,0.017,0.031,0.082,0.008,0.008,0.004,0.008,0.193,0.005
ZFLB08,ZFLB,0.005,0.004,0.007,0.8,0.004,0.011,0.01,0.007,0.005,0.008,0.005,0.006,0.006,0.004,0.04,0.004,0.059,0.013
ZFLB09,ZFLB,0.011,0.007,0.005,0.868,0.008,0.005,0.018,0.009,0.011,0.008,0.007,0.005,0.008,0.005,0.006,0.004,0.01,0.007
ZFLB10,ZFLB,0.008,0.004,0.004,0.895,0.004,0.004,0.007,0.008,0.009,0.006,0.01,0.011,0.004,0.004,0.004,0.003,0.008,0.007
ZFLB11,ZFLB,0.009,0.008,0.007,0.836,0.016,0.009,0.023,0.024,0.008,0.009,0.009,0.005,0.004,0.007,0.003,0.014,0.007,0.003
ZFLB12,ZFLB,0.004,0.004,0.003,0.918,0.005,0.004,0.011,0.004,0.004,0.004,0.004,0.005,0.003,0.003,0.006,0.003,0.009,0.004
ZFLB13,ZFLB,0.011,0.006,0.012,0.737,0.012,0.016,0.016,0.015,0.017,0.017,0.022,0.008,0.01,0.007,0.009,0.005,0.075,0.004
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFLTI01,ZFLTI,0.008,0.005,0.885,0.002,0.012,0.005,0.004,0.008,0.009,0.007,0.009,0.006,0.012,0.011,0.003,0.006,0.003,0.003
ZFLTI02,ZFLTI,0.005,0.006,0.904,0.002,0.015,0.004,0.004,0.006,0.004,0.005,0.006,0.012,0.005,0.006,0.004,0.006,0.003,0.003
ZFLTI03,ZFLTI,0.005,0.004,0.912,0.002,0.006,0.005,0.004,0.008,0.005,0.009,0.008,0.007,0.005,0.005,0.003,0.007,0.003,0.002
ZFLTI04,ZFLTI,0.01,0.006,0.861,0.003,0.006,0.006,0.008,0.013,0.007,0.015,0.018,0.014,0.006,0.01,0.004,0.005,0.004,0.003
ZFLTI05,ZFLTI,0.006,0.004,0.912,0.002,0.005,0.004,0.004,0.005,0.005,0.009,0.011,0.01,0.006,0.005,0.004,0.004,0.003,0.003
ZFLTI06,ZFLTI,0.008,0.004,0.879,0.002,0.004,0.003,0.004,0.011,0.009,0.015,0.015,0.005,0.017,0.009,0.003,0.005,0.003,0.003
ZFLTI07,ZFLTI,0.006,0.004,0.874,0.002,0.004,0.004,0.004,0.01,0.007,0.014,0.028,0.005,0.016,0.007,0.004,0.003,0.003,0.003
ZFLTI08,ZFLTI,0.007,0.004,0.823,0.003,0.004,0.007,0.005,0.011,0.009,0.008,0.027,0.06,0.005,0.008,0.006,0.004,0.005,0.006
ZFLTI09,ZFLTI,0.008,0.005,0.899,0.002,0.004,0.005,0.004,0.012,0.006,0.011,0.008,0.006,0.008,0.008,0.005,0.004,0.003,0.003
ZFLTI10,ZFLTI,0.008,0.006,0.901,0.002,0.005,0.003,0.004,0.01,0.006,0.008,0.01,0.005,0.01,0.008,0.004,0.004,0.003,0.003
ZFLTI11,ZFLTI,0.009,0.005,0.897,0.003,0.005,0.004,0.004,0.013,0.008,0.009,0.007,0.006,0.008,0.007,0.004,0.007,0.003,0.003
ZFLTI12,ZFLTI,0.007,0.006,0.912,0.002,0.007,0.004,0.004,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.004,0.006,0.003,0.003
ZFLTI13,ZFLTI,0.004,0.004,0.901,0.002,0.009,0.005,0.005,0.005,0.005,0.008,0.009,0.015,0.006,0.007,0.004,0.005,0.003,0.003
ZFLTI14,ZFLTI,0.006,0.007,0.873,0.002,0.016,0.004,0.006,0.004,0.005,0.009,0.007,0.034,0.007,0.005,0.005,0.004,0.004,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFONF101,ZFONF1,0.006,0.863,0.012,0.003,0.002,0.004,0.003,0.016,0.006,0.019,0.01,0.005,0.022,0.01,0.005,0.005,0.003,0.006
ZFONF102,ZFONF1,0.007,0.843,0.004,0.004,0.003,0.003,0.003,0.008,0.013,0.012,0.004,0.003,0.05,0.023,0.002,0.01,0.004,0.002
ZFONF103,ZFONF1,0.022,0.831,0.011,0.003,0.007,0.007,0.013,0.014,0.01,0.009,0.009,0.018,0.007,0.015,0.004,0.012,0.004,0.003
ZFONF104,ZFONF1,0.01,0.905,0.004,0.002,0.004,0.003,0.002,0.01,0.01,0.006,0.006,0.002,0.008,0.008,0.002,0.012,0.002,0.002
ZFONF105,ZFONF1,0.007,0.904,0.004,0.003,0.004,0.004,0.004,0.009,0.005,0.008,0.006,0.005,0.005,0.006,0.002,0.02,0.003,0.002
ZFONF106,ZFONF1,0.012,0.909,0.005,0.002,0.003,0.002,0.003,0.01,0.007,0.007,0.004,0.003,0.009,0.008,0.004,0.005,0.002,0.003
ZFONF107,ZFONF1,0.007,0.912,0.005,0.005,0.004,0.003,0.007,0.006,0.005,0.006,0.004,0.006,0.004,0.007,0.005,0.004,0.006,0.004
ZFONF108,ZFONF1,0.007,0.925,0.004,0.003,0.004,0.003,0.007,0.004,0.004,0.005,0.004,0.006,0.004,0.005,0.004,0.004,0.004,0.003
ZFONF109,ZFONF1,0.006,0.904,0.008,0.003,0.006,0.003,0.006,0.007,0.004,0.007,0.006,0.006,0.007,0.008,0.003,0.01,0.003,0.003
ZFONF110,ZFONF1,0.012,0.873,0.006,0.002,0.005,0.003,0.003,0.008,0.01,0.007,0.01,0.005,0.029,0.011,0.002,0.01,0.002,0.002
ZFONF111,ZFONF1,0.004,0.907,0.006,0.004,0.006,0.006,0.003,0.006,0.007,0.007,0.005,0.003,0.005,0.011,0.004,0.007,0.004,0.004
ZFONF112,ZFONF1,0.01,0.89,0.006,0.002,0.004,0.004,0.005,0.006,0.006,0.006,0.005,0.008,0.007,0.006,0.003,0.026,0.003,0.002
ZFONF113,ZFONF1,0.007,0.84,0.005,0.008,0.008,0.009,0.021,0.025,0.014,0.007,0.013,0.005,0.005,0.007,0.003,0.013,0.006,0.003
ZFONF115,ZFONF1,0.021,0.893,0.005,0.003,0.004,0.004,0.005,0.005,0.007,0.012,0.004,0.005,0.006,0.007,0.005,0.007,0.003,0.003
ZFONF116,ZFONF1,0.041,0.649,0.005,0.003,0.006,0.004,0.007,0.011,0.087,0.016,0.005,0.008,0.036,0.056,0.017,0.039,0.004,0.004
ZFONF117,ZFONF1,0.384,0.231,0.07,0.003,0.006,0.006,0.01,0.032,0.02,0.057,0.057,0.044,0.012,0.014,0.005,0.037,0.005,0.003
ZFONF118,ZFONF1,0.013,0.633,0.117,0.002,0.007,0.007,0.007,0.028,0.009,0.019,0.011,0.016,0.041,0.053,0.011,0.015,0.003,0.005
ZFONF119,ZFONF1,0.017,0.027,0.005,0.003,0.004,0.004,0.008,0.863,0.017,0.007,0.007,0.005,0.006,0.006,0.003,0.011,0.003,0.003
ZFONF120,ZFONF1,0.007,0.005,0.006,0.003,0.005,0.005,0.007,0.914,0.009,0.005,0.005,0.003,0.005,0.007,0.003,0.008,0.003,0.002
ZFONF121,ZFONF1,0.081,0.246,0.01,0.004,0.005,0.006,0.009,0.202,0.097,0.134,0.01,0.007,0.028,0.013,0.005,0.136,0.004,0.004
ZFONF122,ZFONF1,0.103,0.202,0.233,0.003,0.01,0.009,0.01,0.153,0.024,0.054,0.017,0.015,0.023,0.11,0.014,0.011,0.005,0.004
ZFONF123,ZFONF1,0.021,0.667,0.005,0.008,0.007,0.003,0.004,0.01,0.114,0.018,0.006,0.003,0.054,0.041,0.007,0.024,0.005,0.003
ZFONF124,ZFONF1,0.005,0.929,0.004,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.004,0.003,0.004,0.005,0.003,0.01,0.003,0.002
ZFONF125,ZFONF1,0.041,0.639,0.015,0.01,0.015,0.012,0.012,0.052,0.034,0.023,0.011,0.005,0.014,0.048,0.003,0.052,0.01,0.004
ZFONF126,ZFONF1,0.014,0.536,0.009,0.002,0.011,0.006,0.008,0.011,0.061,0.011,0.01,0.006,0.03,0.255,0.01,0.014,0.003,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFONF201,ZFONF2,0.02,0.018,0.008,0.032,0.039,0.009,0.006,0.073,0.059,0.096,0.02,0.004,0.016,0.016,0.042,0.473,0.017,0.05
ZFONF202,ZFONF2,0.013,0.008,0.011,0.002,0.008,0.005,0.004,0.016,0.049,0.009,0.005,0.003,0.068,0.174,0.003,0.615,0.003,0.003
ZFONF203,ZFONF2,0.007,0.005,0.007,0.003,0.006,0.011,0.009,0.012,0.011,0.006,0.005,0.003,0.007,0.014,0.004,0.883,0.004,0.003
ZFONF204,ZFONF2,0.007,0.004,0.014,0.008,0.04,0.005,0.011,0.012,0.008,0.006,0.007,0.004,0.006,0.007,0.012,0.83,0.01,0.008
ZFONF206,ZFONF2,0.007,0.006,0.005,0.014,0.013,0.007,0.004,0.008,0.009,0.006,0.005,0.003,0.008,0.013,0.015,0.844,0.021,0.014
ZFONF207,ZFONF2,0.004,0.005,0.007,0.003,0.004,0.005,0.006,0.015,0.007,0.008,0.005,0.004,0.007,0.006,0.004,0.9,0.005,0.004
ZFONF208,ZFONF2,0.019,0.007,0.034,0.003,0.012,0.01,0.007,0.195,0.032,0.039,0.012,0.006,0.037,0.029,0.006,0.542,0.005,0.004
ZFONF209,ZFONF2,0.008,0.004,0.015,0.009,0.031,0.007,0.018,0.024,0.006,0.014,0.006,0.008,0.009,0.008,0.015,0.797,0.007,0.015
ZFONF210,ZFONF2,0.011,0.005,0.012,0.002,0.004,0.003,0.003,0.033,0.006,0.017,0.007,0.007,0.013,0.014,0.003,0.854,0.003,0.003
ZFONF211,ZFONF2,0.033,0.034,0.007,0.013,0.009,0.011,0.011,0.022,0.03,0.025,0.023,0.012,0.012,0.009,0.003,0.734,0.008,0.003
ZFONF212,ZFONF2,0.009,0.009,0.009,0.002,0.003,0.003,0.003,0.04,0.007,0.012,0.012,0.006,0.014,0.015,0.003,0.847,0.003,0.003
ZFONF214,ZFONF2,0.021,0.038,0.004,0.005,0.007,0.011,0.006,0.01,0.079,0.05,0.006,0.003,0.007,0.009,0.003,0.733,0.005,0.003
ZFONF215,ZFONF2,0.017,0.026,0.005,0.002,0.004,0.004,0.004,0.011,0.011,0.011,0.005,0.004,0.008,0.011,0.003,0.87,0.003,0.002
ZFONF216,ZFONF2,0.004,0.005,0.004,0.003,0.003,0.004,0.005,0.007,0.004,0.005,0.006,0.005,0.004,0.004,0.002,0.929,0.003,0.002
ZFONF217,ZFONF2,0.01,0.009,0.004,0.003,0.005,0.004,0.006,0.011,0.056,0.015,0.007,0.005,0.02,0.019,0.004,0.819,0.003,0.002
ZFONF218,ZFONF2,0.006,0.01,0.007,0.006,0.003,0.005,0.004,0.005,0.003,0.005,0.006,0.004,0.004,0.004,0.003,0.915,0.008,0.003
ZFONF219,ZFONF2,0.006,0.01,0.003,0.002,0.003,0.003,0.003,0.005,0.004,0.003,0.003,0.003,0.004,0.004,0.002,0.939,0.002,0.002
ZFONF220,ZFONF2,0.007,0.007,0.005,0.003,0.005,0.005,0.008,0.013,0.038,0.007,0.004,0.004,0.012,0.022,0.005,0.85,0.003,0.003
ZFONF222,ZFONF2,0.004,0.005,0.004,0.007,0.003,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.003,0.004,0.003,0.932,0.005,0.003
ZFONF223,ZFONF2,0.006,0.007,0.004,0.007,0.004,0.006,0.005,0.007,0.014,0.005,0.004,0.003,0.005,0.01,0.004,0.898,0.006,0.004
ZFONF224,ZFONF2,0.004,0.005,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.002,0.942,0.003,0.002
ZFONF225,ZFONF2,0.007,0.02,0.004,0.002,0.004,0.003,0.003,0.007,0.006,0.004,0.004,0.003,0.005,0.005,0.002,0.915,0.002,0.002
ZFONF226,ZFONF2,0.01,0.005,0.007,0.003,0.005,0.008,0.01,0.015,0.01,0.008,0.005,0.004,0.006,0.012,0.003,0.884,0.003,0.003
